U+030195: 𰆕
U+030196: 𰆖
U+030197: 𰆗
U+030198: 𰆘
U+030199: 𰆙
U+03019A: 𰆚
U+03019B: 𰆛
U+03019C: 𰆜
U+03019D: 𰆝
U+03019E: 𰆞
U+03019F: 𰆟
U+0301A0: 𰆠
U+0301A1: 𰆡
U+0301A2: 𰆢
U+0301A3: 𰆣
U+0301A4: 𰆤
U+0301A5: 𰆥
U+0301A6: 𰆦
U+0301A7: 𰆧
U+0301A8: 𰆨
U+0301A9: 𰆩
U+0301AA: 𰆪
U+0301AB: 𰆫
U+0301AC: 𰆬
U+0301AD: 𰆭
U+0301AE: 𰆮
U+0301AF: 𰆯
U+0301B0: 𰆰
U+0301B1: 𰆱
U+0301B2: 𰆲
U+0301B3: 𰆳
U+0301B4: 𰆴
U+0301B5: 𰆵
U+0301B6: 𰆶
U+0301B7: 𰆷
U+0301B8: 𰆸
U+0301B9: 𰆹
U+0301BA: 𰆺
U+0301BB: 𰆻
U+0301BC: 𰆼
U+0301BD: 𰆽
U+0301BE: 𰆾
U+0301BF: 𰆿
U+0301C0: 𰇀
U+0301C1: 𰇁
U+0301C2: 𰇂
U+0301C3: 𰇃
U+0301C4: 𰇄
U+0301C5: 𰇅
U+0301C6: 𰇆
U+0301C7: 𰇇
U+0301C8: 𰇈
U+0301C9: 𰇉
U+0301CA: 𰇊
U+0301CB: 𰇋
U+0301CC: 𰇌
U+0301CD: 𰇍
U+0301CE: 𰇎
U+0301CF: 𰇏
U+0301D0: 𰇐
U+0301D1: 𰇑
U+0301D2: 𰇒
U+0301D3: 𰇓
U+0301D4: 𰇔
U+0301D5: 𰇕
U+0301D6: 𰇖
U+0301D7: 𰇗
U+0301D8: 𰇘
U+0301D9: 𰇙
U+0301DA: 𰇚
U+0301DB: 𰇛
U+0301DC: 𰇜
U+0301DD: 𰇝
U+0301DE: 𰇞
U+0301DF: 𰇟
U+0301E0: 𰇠
U+0301E1: 𰇡
U+0301E2: 𰇢
U+0301E3: 𰇣
U+0301E4: 𰇤
U+0301E5: 𰇥
U+0301E6: 𰇦
U+0301E7: 𰇧
U+0301E8: 𰇨
U+0301E9: 𰇩
U+0301EA: 𰇪
U+0301EB: 𰇫
U+0301EC: 𰇬
U+0301ED: 𰇭
U+0301EE: 𰇮
U+0301EF: 𰇯
U+0301F0: 𰇰
U+0301F1: 𰇱
U+0301F2: 𰇲
U+0301F3: 𰇳
U+0301F4: 𰇴
U+0301F5: 𰇵
U+0301F6: 𰇶
U+0301F7: 𰇷
U+0301F8: 𰇸
U+0301F9: 𰇹
U+0301FA: 𰇺
U+0301FB: 𰇻
U+0301FC: 𰇼
U+0301FD: 𰇽
U+0301FE: 𰇾
U+0301FF: 𰇿
U+030200: 𰈀
U+030201: 𰈁
U+030202: 𰈂
U+030203: 𰈃
U+030204: 𰈄
U+030205: 𰈅
U+030206: 𰈆
U+030207: 𰈇
U+030208: 𰈈
U+030209: 𰈉
U+03020A: 𰈊
U+03020B: 𰈋
U+03020C: 𰈌
U+03020D: 𰈍
U+03020E: 𰈎
U+03020F: 𰈏
U+030210: 𰈐
U+030211: 𰈑
U+030212: 𰈒
U+030213: 𰈓
U+030214: 𰈔
U+030215: 𰈕
U+030216: 𰈖
U+030217: 𰈗
U+030218: 𰈘
U+030219: 𰈙
U+03021A: 𰈚
U+03021B: 𰈛
U+03021C: 𰈜
U+03021D: 𰈝
U+03021E: 𰈞
U+03021F: 𰈟
U+030220: 𰈠
U+030221: 𰈡
U+030222: 𰈢
U+030223: 𰈣
U+030224: 𰈤
U+030225: 𰈥
U+030226: 𰈦
U+030227: 𰈧
U+030228: 𰈨
U+030229: 𰈩
U+03022A: 𰈪
U+03022B: 𰈫
U+03022C: 𰈬
U+03022D: 𰈭
U+03022E: 𰈮
U+03022F: 𰈯
U+030230: 𰈰
U+030231: 𰈱
U+030232: 𰈲
U+030233: 𰈳
U+030234: 𰈴
U+030235: 𰈵
U+030236: 𰈶
U+030237: 𰈷
U+030238: 𰈸
U+030239: 𰈹
U+03023A: 𰈺
U+03023B: 𰈻
U+03023C: 𰈼
U+03023D: 𰈽
U+03023E: 𰈾
U+03023F: 𰈿
U+030240: 𰉀
U+030241: 𰉁
U+030242: 𰉂
U+030243: 𰉃
U+030244: 𰉄
U+030245: 𰉅
U+030246: 𰉆
U+030247: 𰉇
U+030248: 𰉈
U+030249: 𰉉
U+03024A: 𰉊
U+03024B: 𰉋
U+03024C: 𰉌
U+03024D: 𰉍
U+03024E: 𰉎
U+03024F: 𰉏
U+030250: 𰉐
U+030251: 𰉑
U+030252: 𰉒
U+030253: 𰉓
U+030254: 𰉔
U+030255: 𰉕
U+030256: 𰉖
U+030257: 𰉗
U+030258: 𰉘
U+030259: 𰉙
U+03025A: 𰉚
U+03025B: 𰉛
U+03025C: 𰉜
U+03025D: 𰉝
U+03025E: 𰉞
U+03025F: 𰉟
U+030260: 𰉠
U+030261: 𰉡
U+030262: 𰉢
U+030263: 𰉣
U+030264: 𰉤
U+030265: 𰉥
U+030266: 𰉦
U+030267: 𰉧
U+030268: 𰉨
U+030269: 𰉩
U+03026A: 𰉪
U+03026B: 𰉫
U+03026C: 𰉬
U+03026D: 𰉭
U+03026E: 𰉮
U+03026F: 𰉯
U+030270: 𰉰
U+030271: 𰉱
U+030272: 𰉲
U+030273: 𰉳
U+030274: 𰉴
U+030275: 𰉵
U+030276: 𰉶
U+030277: 𰉷
U+030278: 𰉸
U+030279: 𰉹
U+03027A: 𰉺
U+03027B: 𰉻
U+03027C: 𰉼
U+03027D: 𰉽
U+03027E: 𰉾
U+03027F: 𰉿
U+030280: 𰊀
U+030281: 𰊁
U+030282: 𰊂
U+030283: 𰊃
U+030284: 𰊄
U+030285: 𰊅
U+030286: 𰊆
U+030287: 𰊇
U+030288: 𰊈
U+030289: 𰊉
U+03028A: 𰊊
U+03028B: 𰊋
U+03028C: 𰊌
U+03028D: 𰊍
U+03028E: 𰊎
U+03028F: 𰊏
U+030290: 𰊐
U+030291: 𰊑
U+030292: 𰊒
U+030293: 𰊓
U+030294: 𰊔
U+030295: 𰊕
U+030296: 𰊖
U+030297: 𰊗
U+030298: 𰊘
U+030299: 𰊙
U+03029A: 𰊚
U+03029B: 𰊛
U+03029C: 𰊜
U+03029D: 𰊝
U+03029E: 𰊞
U+03029F: 𰊟
U+0302A0: 𰊠
U+0302A1: 𰊡
U+0302A2: 𰊢
U+0302A3: 𰊣
U+0302A4: 𰊤
U+0302A5: 𰊥
U+0302A6: 𰊦
U+0302A7: 𰊧
U+0302A8: 𰊨
U+0302A9: 𰊩
U+0302AA: 𰊪
U+0302AB: 𰊫
U+0302AC: 𰊬
U+0302AD: 𰊭
U+0302AE: 𰊮
U+0302AF: 𰊯
U+0302B0: 𰊰
U+0302B1: 𰊱
U+0302B2: 𰊲
U+0302B3: 𰊳
U+0302B4: 𰊴
U+0302B5: 𰊵
U+0302B6: 𰊶
U+0302B7: 𰊷
U+0302B8: 𰊸
U+0302B9: 𰊹
U+0302BA: 𰊺
U+0302BB: 𰊻
U+0302BC: 𰊼
U+0302BD: 𰊽
U+0302BE: 𰊾
U+0302BF: 𰊿
U+0302C0: 𰋀
U+0302C1: 𰋁
U+0302C2: 𰋂
U+0302C3: 𰋃
U+0302C4: 𰋄
U+0302C5: 𰋅
U+0302C6: 𰋆
U+0302C7: 𰋇
U+0302C8: 𰋈
U+0302C9: 𰋉
U+0302CA: 𰋊
U+0302CB: 𰋋
U+0302CC: 𰋌
U+0302CD: 𰋍
U+0302CE: 𰋎
U+0302CF: 𰋏
U+0302D0: 𰋐
U+0302D1: 𰋑
U+0302D2: 𰋒
U+0302D3: 𰋓
U+0302D4: 𰋔
U+0302D5: 𰋕
U+0302D6: 𰋖
U+0302D7: 𰋗
U+0302D8: 𰋘
U+0302D9: 𰋙
U+0302DA: 𰋚
U+0302DB: 𰋛
U+0302DC: 𰋜
U+0302DD: 𰋝
U+0302DE: 𰋞
U+0302DF: 𰋟
U+0302E0: 𰋠
U+0302E1: 𰋡
U+0302E2: 𰋢
U+0302E3: 𰋣
U+0302E4: 𰋤
U+0302E5: 𰋥
U+0302E6: 𰋦
U+0302E7: 𰋧
U+0302E8: 𰋨
U+0302E9: 𰋩
U+0302EA: 𰋪
U+0302EB: 𰋫
U+0302EC: 𰋬
U+0302ED: 𰋭
U+0302EE: 𰋮
U+0302EF: 𰋯
U+0302F0: 𰋰
U+0302F1: 𰋱
U+0302F2: 𰋲
U+0302F3: 𰋳
U+0302F4: 𰋴
U+0302F5: 𰋵
U+0302F6: 𰋶
U+0302F7: 𰋷
U+0302F8: 𰋸
U+0302F9: 𰋹
U+0302FA: 𰋺
U+0302FB: 𰋻
U+0302FC: 𰋼
U+0302FD: 𰋽
U+0302FE: 𰋾
U+0302FF: 𰋿
U+030300: 𰌀
U+030301: 𰌁
U+030302: 𰌂
U+030303: 𰌃
U+030304: 𰌄
U+030305: 𰌅
U+030306: 𰌆
U+030307: 𰌇
U+030308: 𰌈
U+030309: 𰌉
U+03030A: 𰌊
U+03030B: 𰌋
U+03030C: 𰌌
U+03030D: 𰌍
U+03030E: 𰌎
U+03030F: 𰌏
U+030310: 𰌐
U+030311: 𰌑
U+030312: 𰌒
U+030313: 𰌓
U+030314: 𰌔
U+030315: 𰌕
U+030316: 𰌖
U+030317: 𰌗
U+030318: 𰌘
U+030319: 𰌙
U+03031A: 𰌚
U+03031B: 𰌛
U+03031C: 𰌜
U+03031D: 𰌝
U+03031E: 𰌞
U+03031F: 𰌟
U+030320: 𰌠
U+030321: 𰌡
U+030322: 𰌢
U+030323: 𰌣
U+030324: 𰌤
U+030325: 𰌥
U+030326: 𰌦
U+030327: 𰌧
U+030328: 𰌨
U+030329: 𰌩
U+03032A: 𰌪
U+03032B: 𰌫
U+03032C: 𰌬
U+03032D: 𰌭
U+03032E: 𰌮
U+03032F: 𰌯
U+030330: 𰌰
U+030331: 𰌱
U+030332: 𰌲
U+030333: 𰌳
U+030334: 𰌴
U+030335: 𰌵
U+030336: 𰌶
U+030337: 𰌷
U+030338: 𰌸
U+030339: 𰌹
U+03033A: 𰌺
U+03033B: 𰌻
U+03033C: 𰌼
U+03033D: 𰌽
U+03033E: 𰌾
U+03033F: 𰌿
U+030340: 𰍀
U+030341: 𰍁
U+030342: 𰍂
U+030343: 𰍃
U+030344: 𰍄
U+030345: 𰍅
U+030346: 𰍆
U+030347: 𰍇
U+030348: 𰍈
U+030349: 𰍉
U+03034A: 𰍊
U+03034B: 𰍋
